un(e) commercant(e),a shopkeeper; a retailer,0
un(e) locataire,a tenant,0
les bidonvilles,slums; shanty towns,0
un emprunt (immobilier),a loan; a mortgage,0
une fiole,a vial,0
un domaine; un royaume,a realm,0
un cartoon satirique,a satirical cartoon,0
Dans quelle mesure,To what extenT,0
transmettre;acheminer,to convey,0
extraordinaire; formidable; enorme,tremendous,0
sceptique,sceptical,0
contestation,dissent,0
inutilite; futilite,futility,0
concret,tangible,0
baigner (de lumiere),to bath,0
hypnotisant; captivant; fascinant,mesmerizing,0
j'en veux a qqn pour quelque chose,I resent someone for +ing,0
la rive du fleuve; de la mer,the river bank,0
ni... ni...,neither... nor...,0
le versant d'une montagne,slope of a mountain,0
lie inextricablement,tightly linked; bound,0
Les ... sont de bons moyens de communication,"Those are great ways to communicate (et non pas ""of communicating"")",0
"Reflexe ""depuis que""","Since ... + present perfect (""have been trying"")",0
avoir de la rancune a l'egard de,to bear a grudge against,0
indulgent,lenient,0
partenariats publicitaires,endorsements,0
marches du travail,labor; labour markets,0
d'une part;... d'autre part,on the one hand; on the other hand,0
a court/moyen/long terme,over the short; medium; long term,0
commerce a grande echelle; commerce de gros,wholesale,0
ennuyeux; penible; fastidieux,tedious,0
les chaines d'assemblages; le montage a la chaine,assembly lines,0
sous-traiter; externaliser,outsourcing; subcontracting,0
l'economie a la demande (Uber; Netflix),on-demand economy,0
homologue; equivalent,counterpart,0
payements sans contact,contactless payments,0
la fracture numerique,the digital divide,0
zones eloignees; isolees,remote areas,0
mediatisation,media coverage,0
actionnaires,stockholders; shareholders,0
homme de main,handyman,0
inclure; entourer,to encompass,0
poursuivre en justice,to sue,0
Les Etats-Unis sont beaux,The US is pretty,0
chene; peuplier; bouleau; sapin; palmier; cedre; erable; sequoia; pin; hetre; frene,oak; poplar; birch; spruce; palm; cedar; maple; sequoia; pine; beech; ash,0
etonnant; etonnante,uncanny,0
soigneusement,neatly; carefully,0
lamentable,dreadful,0
dislocation; perturbation,disruption; shattering,0
abject; abjecte,abject; despicable,0
faire une classification discrete (employee surtout dans le cadre de formes vivantes),to taxonomize,0
fletri,withered,0
