être proche de la réponse,to be in the right neck of the woods; to be in the right ball park,0
être clair comme de l'eau de roche,to be clear as a bell; to be crystal clear,0
to put the finishing touches,to dot the i's and cross the t's,0
reconnaitre et valider ses émotions,to get in touch with your emotions,0
c'est mieux de réfléchir à plusieurs,two heads are better than one,0
une deuxième chance,another crack of the whip,0
avoir une poussière dans l'oeil,to have something in your eye,0
être en chemin,to be en route,0
l'union fait la force,many hands make light work,0
être de mauvais goût,to be in bad taste,0
voir le jour,to see the light of the day,0
cette opportunité est passée,that ship has sailed,0
être de mauvaise foi,to be in bad faith,0
montrer de l'incertitude; du dégout ou de la surprise,to wrinkle your nose,0
s'attaquer à la cause source du problème,to tackle the root cause,0
mener une vie de mendiant,to lead a life of begging,0
gagner le contrôle sur,to get a grip on,0
je suis tout ouïe,I am all ears,0
avoir un contrôle ferme sur une organisation,to run a tight ship,0
