une fiole,a vial,0
un domaine; un royaume,a realm,0
baigner (de lumiere),to bath,0
hypnotisant; captivant; fascinant,mesmerizing,0
lie inextricablement,tightly linked; bound,0
entremeles; entrelaces,intertwined,0
avoir de la rancune a l'egard de,to bear a grudge against,0
indulgent,lenient,0
d'une part;... d'autre part,on the one hand; on the other hand,0
ennuyeux; penible; fastidieux,tedious,0
inclure; entourer,to encompass,0
chene; peuplier; bouleau; sapin; palmier; cedre; erable; sequoia; pin; hetre; frene,oak; poplar; birch; spruce; palm; cedar; maple; sequoia; pine; beech; ash,0
etonnant; etonnante,uncanny,0
soigneusement,neatly; carefully,0
lamentable,dreadful,0
dislocation; perturbation,disruption; shattering,0
abject; abjecte,abject; despicable,0
faire une classification discrete (employee surtout dans le cadre de formes vivantes),to taxonomize,0
fletri,withered,0
un rebut,a scum; a rubbish,0
elle respire l'intelligence,she exudes; radiates cleverness,0
raffine,sophisticated; fancy,0
indolent,indolent,0
mal lunee,ill-tempered; moody,0
gaze,gauze; woven,0
legerement modifie,slightly changed,0
leger changement,slight change,0
une émeute,a riot,0
acidule,tangy,0
amer,bitter,0
perspicacite; connaissance approfondie; un apercu; une idee,an insight,0
sans probleme; sans heurt,seamlessly,0
enfoncer; incruster; encastrer; implanter,to embed,0
la colonne vertebrale,the backbone,0
maladroit,clumsy,0
rein,kidney,0
limiter; reduire,to curtail,0
mitiger; attenuer,to mitigate,0
exhaustif,comprehensive,0
envisager,to contemplate,0
compatissant,sympathetic; compassionnate,0
elegant,smart,0
menacer; oppresser,to loom,0
flagrant,blatant,0
tromper,to mislead; to deceive,0
embourbe,muddied,0
detresse,plight,0
prudent,cautious,0
s'efforcer,to strive; to endeavour,0
anxiete; peur,angst,0
diffamer,to slander,0
epuiser,to exhaust,0
persister; s'attarder; s'eterniser,to linger; to dwell,0
se debarasser,to shed,0
verser une larme,to shed a tear,0
mettre en lumiere,to shed light on,0
j'en veux a qqn pour quelque chose,I resent someone for +ing,0
engagement,commitment,0
errer,to wander,0
fondre,to melt; to thaw,0
dramatique,tragic,0
impressionnant,dramatic,0
soyez courageux dans les endroits sombres car nous sommes la lumiere de l'espoir,be brave in the dark places; for we are the light of hope,0
fatigue(e),drained; sluggish; ragged,0
assourdissant,deafening,0
effrayer,to scare; to frighten,0
eviter,to avoid; to shun,0
se rendre,to surrender; to yield,0
ecouter secretement la conversation de quelqu'un,to eavesdrop,0
etre laisse en plan,to be left stranded,0
pourtant,yet,0
roder,to prowl,0
un rodeur,a prowler,0
enjoue; ravi,delighted,0
accorder; octroyer,to bestow; to grant,0
avide; desireux,eager; keen,0
desirer; languir; aspirer,to yearn; to long for,0
etancher; eteindre,to quench,0
insurrection; revolte; soulevement,uprising,0
soumettre,to subdue,0
apparemment,apparently; seemingly,0
il refuse obstinement,he stubbornly refused,0
foisonner; regorger; abonder,to abound,0
attenuer (la lumiere ou un feu),to dim,0
dote (d'une qualite; d'une caracteristique),endowed,0
robe longue portee lors d'occasion formelle,a gown,0
sonder; penetrer,to fathom,0
reconnaissant,appreciative; grateful,0
hesiter; begayer,to falter,0
la chaleur (agreable),the warmth,0
la chaleur (neutre),the heat,0
plaisanter,to banter,0
rechercher,to seek; to look for,0
faire l'etalage,to flaunt,0
desempare; perdu,clueless,0
inconscient; insouciant,oblivious,0
detrempe,soaked to the bones,0
mefiance,mistrust,0
presage,harbinger,0
repandu; frequent,prevalent,0
cafardeux; sombre,gloomy,0
doublons,duplicates,0
rendre clair,to make plain,0
se complaire dans,to wallow in,0
un hurlement; un rugissement,a howl,0
prononcer; proferer,to utter,0
monter en fleche,to soar,0
fil a tisser,yarn,0
un metier a tisser,a loom,0
epineux,thorny; prickly; tricky,0
de longue date,long-standing,0
a cote; en parallele,alongside,0
condamner,to condemn,0
indifferent,uncaring,0
porter (un enfant dans son ventre ou une arme par ex),to bear,0
rebarbatif; rebutant,off-putting,0
abrupt,abrupt,0
douceur (d'un tissu par ex),softness; smoothness,0
comment le traducteur peut-il eviter cela ?,how is the translator to avoid this,0
analyser (des donnees),to parse,0
idees preconcues,preconceived notions,0
heberger; accueillir; porter,to harbor,0
retentissant; resonnant; sonore,resounding,0
due en partie,due in part,0
inexorablement,inexorably,0
abondemment,profusely,0
reconnaitre et valider ses émotions,to get in touch with your emotions,0
to put the finishing touches,to dot the i's and cross the t's,0
d'une manière générale,generally speaking,0
